epoch,loss,mean_absolute_error,mean_absolute_percentage_error,mean_squared_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_mean_absolute_percentage_error,val_mean_squared_error,val_root_mean_squared_error
0,0.39651602506637573,0.3965150713920593,4250017.5,0.3272199034690857,0.5720316767692566,0.40143999457359314,0.401440292596817,3383805.25,0.3505701720714569,0.5920893549919128
1,0.38378700613975525,0.38378700613975525,4118767.5,0.3086632490158081,0.5555750131607056,0.37978604435920715,0.37978628277778625,3909461.25,0.3060322701931,0.5532017946243286
2,0.3679852783679962,0.36798498034477234,3837894.0,0.2850867509841919,0.5339356064796448,0.3691026568412781,0.3691023886203766,4254103.0,0.27205508947372437,0.5215891003608704
3,0.328693151473999,0.3286925256252289,3436500.25,0.22767454385757446,0.4771524667739868,0.30656373500823975,0.30656370520591736,3517949.25,0.19413094222545624,0.44060301780700684
4,0.2886517643928528,0.2886519730091095,3055125.75,0.17585580050945282,0.4193517565727234,0.2826041281223297,0.28260377049446106,3094880.0,0.1639593094587326,0.4049187898635864
5,0.26442450284957886,0.26442450284957886,2770643.0,0.14801549911499023,0.3847278654575348,0.2897016406059265,0.2897014617919922,3175172.5,0.17291511595249176,0.4158306121826172
6,0.24868880212306976,0.24868810176849365,2546734.75,0.1320740282535553,0.3634200990200043,0.27124980092048645,0.27125003933906555,2934197.0,0.1525491327047348,0.390575647354126
7,0.2373574823141098,0.23735769093036652,2372783.0,0.1209595799446106,0.3477924168109894,0.2606332004070282,0.26063311100006104,2638644.5,0.1411886066198349,0.3757510781288147
8,0.22916707396507263,0.22916696965694427,2259657.25,0.1128765121102333,0.3359709680080414,0.2624225318431854,0.2624228000640869,2803549.75,0.14546656608581543,0.38140082359313965
9,0.22226198017597198,0.22226200997829437,2140574.25,0.10647547990083694,0.32630598545074463,0.25457486510276794,0.25457483530044556,2633168.5,0.13523322343826294,0.3677405118942261
10,0.21710097789764404,0.21710100769996643,2063792.5,0.10157835483551025,0.318713515996933,0.2511526048183441,0.251152366399765,2391184.25,0.13339518010616302,0.3652326762676239
11,0.2127743810415268,0.21277478337287903,2020361.875,0.09799923747777939,0.31304821372032166,0.2621821463108063,0.2621819078922272,2655486.0,0.144539937376976,0.3801841735839844
12,0.20759700238704681,0.2075965255498886,1942440.875,0.0928722396492958,0.3047493100166321,0.24413277208805084,0.24413266777992249,2401261.0,0.12488284707069397,0.35338762402534485
13,0.20418110489845276,0.2041814774274826,1896362.0,0.09021803736686707,0.3003631830215454,0.23827572166919708,0.23827554285526276,2230538.25,0.1181175708770752,0.3436822295188904
14,0.2008676677942276,0.2008674442768097,1831046.375,0.08711372315883636,0.2951504588127136,0.2252238392829895,0.22522412240505219,2099462.0,0.10443055629730225,0.3231571316719055
15,0.19841672480106354,0.19841670989990234,1799094.625,0.08528589457273483,0.29203730821609497,0.22533613443374634,0.22533565759658813,2251596.25,0.10441413521766663,0.3231319487094879
16,0.1952509731054306,0.1952504813671112,1772167.875,0.08254119753837585,0.28729984164237976,0.22869586944580078,0.22869592905044556,2291325.5,0.11044991761445999,0.3323398530483246
17,0.19248835742473602,0.19248844683170319,1722576.625,0.08021239191293716,0.2832178771495819,0.23222771286964417,0.23222781717777252,2226626.5,0.11357703804969788,0.33701199293136597
18,0.19041763246059418,0.19041746854782104,1706717.25,0.07851435989141464,0.2802043855190277,0.23889151215553284,0.23889140784740448,2058561.75,0.1171458512544632,0.3422655761241913
19,0.18859513103961945,0.1885950118303299,1666814.25,0.07718324661254883,0.27781862020492554,0.23578473925590515,0.23578451573848724,2198306.0,0.118003711104393,0.34351667761802673
